"","YEAR","SEX","RACE","EDUC","AGE"
"745",1974,2,1,14,23
"746",1974,1,1,13,23
"747",1974,1,1,8,50
"748",1974,1,1,16,40
"749",1974,2,1,12,42
"750",1974,2,1,16,37
"751",1974,1,1,15,30
"752",1974,1,1,11,54
"753",1974,1,1,8,47
"754",1974,2,1,12,30
"755",1974,2,1,16,31
"756",1974,1,1,13,28
"757",1974,1,1,8,68
"758",1974,2,1,8,69
"759",1974,2,1,12,40
"760",1974,2,1,10,39
"761",1974,1,1,11,23
"762",1974,1,1,10,40
"763",1974,1,1,10,72
"764",1974,2,1,12,31
"765",1974,2,1,12,32
"766",1974,1,1,12,24
"767",1974,1,1,16,40
"768",1974,2,1,14,29
"769",1974,2,1,12,28
"770",1974,2,1,12,48
"771",1974,1,1,19,28
"772",1974,1,1,14,51
"773",1974,2,1,18,36
"774",1974,2,1,12,73
"775",1974,2,1,17,44
"776",1974,1,1,14,55
"777",1974,1,1,14,57
"778",1974,2,3,14,22
"779",1974,2,3,14,25
"780",1974,2,1,12,32
"781",1974,1,1,17,69
"782",1974,1,1,14,58
"783",1974,2,1,16,33
"784",1974,2,1,15,87
"785",1974,2,2,12,33
"786",1974,1,1,12,72
"787",1974,1,1,16,37
"788",1974,1,1,18,58
"789",1974,2,1,16,34
"790",1974,2,1,16,34
"791",1974,1,1,12,33
"792",1974,1,1,16,33
"793",1974,1,1,10,56
"794",1974,2,1,10,35
"795",1974,2,1,12,26
"796",1974,1,1,12,27
"797",1974,1,1,14,71
"798",1974,2,1,13,51
"799",1974,2,1,16,28
"800",1974,2,1,8,52
"801",1974,1,1,11,18
"802",1974,1,1,18,43
"803",1974,1,1,14,58
"804",1974,2,1,12,42
"805",1974,2,1,12,30
"806",1974,1,1,10,25
"807",1974,1,1,8,56
"808",1974,2,1,12,30
"809",1974,2,1,9,52
"810",1974,2,1,12,46
"811",1974,1,1,12,28
"812",1974,1,1,10,63
"813",1974,2,1,12,29
"814",1974,2,1,12,39
"815",1974,2,1,6,58
"816",1974,1,1,13,24
"817",1974,1,1,12,44
"818",1974,1,1,9,39
"819",1974,2,1,12,63
"820",1974,2,1,12,34
"821",1974,1,1,12,21
"822",1974,1,1,12,44
"823",1974,2,1,12,23
"824",1974,2,1,10,46
"825",1974,2,1,10,34
"826",1974,1,1,14,20
"827",1974,1,1,16,48
"828",1974,2,1,12,57
"829",1974,2,1,12,59
"830",1974,2,1,12,28
"831",1974,1,2,14,23
"832",1974,1,2,7,41
"833",1974,2,2,13,35
"834",1974,2,2,12,20
"835",1974,2,2,12,34
"836",1974,1,1,13,19
"837",1974,1,1,10,71
"838",1974,2,1,12,24
"839",1974,2,1,12,27
"840",1974,2,1,10,42
"841",1974,1,1,10,29
"842",1974,1,2,7,38
"843",1974,1,1,10,58
"844",1974,2,2,12,39
"845",1974,2,2,11,21
"846",1974,1,1,12,34
"847",1974,1,1,16,41
"848",1974,2,1,12,53
"849",1974,2,1,12,38
"850",1974,2,1,10,37
"851",1974,1,1,12,29
"852",1974,1,1,12,55
"853",1974,2,1,12,26
"854",1974,2,1,11,33
"855",1974,2,1,12,31
"856",1974,1,1,16,35
"857",1974,1,1,19,73
"858",1974,2,1,17,38
"859",1974,2,1,13,32
"860",1974,2,1,13,40
"861",1974,1,2,17,32
"862",1974,2,1,18,46
"863",1974,2,1,14,25
"864",1974,2,1,12,81
"865",1974,2,1,18,25
"866",1974,1,1,12,34
"867",1974,1,1,16,70
"868",1974,2,1,16,29
"869",1974,2,1,15,64
"870",1974,2,2,14,41
"871",1974,1,1,10,19
"872",1974,1,1,9,38
"873",1974,1,1,18,39
"874",1974,2,1,8,71
"875",1974,2,1,14,32
"876",1974,1,1,16,27
"877",1974,1,1,10,48
"878",1974,2,1,16,24
"879",1974,2,1,16,23
"880",1974,2,2,16,26
"881",1974,1,1,3,66
"882",1974,2,1,12,51
"883",1974,2,1,12,30
"884",1974,2,1,12,34
"885",1974,1,2,12,23
"886",1974,1,2,14,37
"887",1974,2,2,12,64
"888",1974,2,2,12,65
"889",1974,2,2,12,48
"890",1974,1,1,14,60
"891",1974,1,1,10,81
"892",1974,2,1,12,35
"893",1974,2,1,16,27
"894",1974,2,1,13,76
"895",1974,1,1,16,28
"896",1974,1,1,16,54
"897",1974,2,1,16,52
"898",1974,2,1,12,51
"899",1974,2,1,16,41
"900",1974,1,2,1,83
"901",1974,1,2,10,48
"902",1974,2,2,5,85
"903",1974,2,2,12,36
"904",1974,2,2,12,29
"905",1974,1,1,10,26
"906",1974,1,1,12,39
"907",1974,2,1,14,86
"908",1974,2,1,12,28
"909",1974,2,1,9,63
"910",1974,1,1,14,23
"911",1974,1,2,16,25
"912",1974,2,1,16,23
"913",1974,2,1,15,22
"914",1974,2,1,14,22
"915",1974,1,1,16,48
"916",1974,1,1,18,56
"917",1974,2,1,16,32
"918",1974,2,1,10,37
"919",1974,2,1,16,40
"920",1974,1,1,11,21
"921",1974,1,1,6,58
"922",1974,2,1,11,56
"923",1974,2,1,9,36
"924",1974,2,1,8,39
"925",1974,1,1,12,46
"926",1974,1,2,7,54
"927",1974,2,2,10,21
"928",1974,2,2,11,33
"929",1974,2,2,12,26
"930",1974,1,1,8,51
"931",1974,1,1,20,51
"932",1974,2,1,6,68
"933",1974,2,1,12,38
"934",1974,2,1,4,52
"935",1974,1,1,12,26
"936",1974,1,1,7,57
"937",1974,1,1,17,51
"938",1974,2,1,10,60
"939",1974,2,1,4,55
"940",1974,1,1,12,20
"941",1974,1,1,11,49
"942",1974,2,1,11,38
"943",1974,2,1,9,75
"944",1974,2,1,10,43
"945",1974,1,1,12,24
"946",1974,1,1,7,73
"947",1974,2,1,3,68
"948",1974,2,1,9,70
"949",1974,2,1,12,44
"950",1974,1,1,12,20
"951",1974,1,1,9,57
"952",1974,1,1,11,37
"953",1974,2,1,11,55
"954",1974,2,1,12,27
"955",1974,1,1,12,32
"956",1974,1,1,7,71
"957",1974,2,1,8,66
"958",1974,2,1,7,58
"959",1974,2,1,8,53
"960",1974,1,1,12,31
"961",1974,1,1,12,46
"962",1974,1,1,14,61
"963",1974,2,1,12,26
"964",1974,2,1,12,39
"965",1974,1,1,15,26
"966",1974,1,1,14,21
"967",1974,1,1,12,67
"968",1974,2,1,13,69
"969",1974,2,1,16,26
"970",1974,1,1,13,22
"971",1974,1,2,18,45
"972",1974,2,1,12,22
"973",1974,2,1,10,51
"974",1974,2,1,12,47
"975",1974,1,2,12,24
"976",1974,1,2,11,49
"977",1974,2,2,9,22
"978",1974,2,2,13,22
"979",1974,2,2,10,38
"980",1974,1,1,12,22
"981",1974,1,1,10,66
"982",1974,2,1,11,44
